Processed	sent	topic
thistopc may is just jeb bush from the a different state. he's a mealy mouthed squish.  httpaddr	negative	john kasich
"""thistopc thinks the roots are """"offensive"""" httpaddr"	negative	john kasich
thistopc you may live. you dont have my support but you may live	negative	john kasich
"""n.h. poll: trump still numbrst, but the mentally unstable thistopc jumps like a boss into numbrnd place - httpaddr"	negative	john kasich
the only line i will remember tomorrow is thistopc's dad was a mailman..... who the hell cares?!?!? twitteraddr	negative	john kasich
"""this topc race is seriously getting out of hand. who in the blue heck is thistopc? or red heck, as the case may be here."""	negative	john kasich
"""this weekend on the fair &amp; balanced network, fox news sunday's guests are crazy conservative rick perry and nutty conservative thistopc."""	negative	john kasich
uh oh. thistopc just followed neon twitter. they may not like what i have to say... topc topc	negative	john kasich
"""who the heck did thistopc pay to get all this good post-debate pub?  who is he? oh right, and the debate was in cleveland.   but c'mon"""	negative	john kasich
"""ya know, thistopc actually seems like a real human being with a real record.. too bad that may or may not mean anything"""	negative	john kasich
you worry about your numbrnd amendment america with a nra nut thistopc givin guns like candy its my life i worry about.. wild west mentality.	negative	john kasich
"""gov. thistopc has a problem, he is starting late in a numbr man field with the first debate coming up on the numbrth of aug. he must debate"""	negative	john kasich
thistopc is crushing it tonight. he'll see a huge bump tomorrow. - undecided republican in cleveland ohio httpaddr	positive	john kasich
"""topc topc ohio gov. thistopc says of the numbrst gop presidential debate on thursday: 'i'd like to be there, ... httpaddr"	positive	john kasich
topc kudos to thistopc showing respect to those with whom he may not agree.	positive	john kasich
twitteraddr i truly don't think she'll win; she may not even be the nominee. voting for bernie as of now..perhaps thistopc	positive	john kasich
twitteraddr jeb or thistopc may get it... i need an easy bit for hillary	positive	john kasich
at the end of night only thistopc was on top with trump. these two may not yet be owned by topc wonder? httpaddr	positive	john kasich
did thistopc stand out in gop forum?: kasich delivered clear performance at monday's gop forum. but with so... httpaddr	positive	john kasich
did you know that 'thistopc' was trending topic on tuesday numbr for numbr hours in chicago? httpaddr topc	positive	john kasich
"""don't look now, but thistopc may mess around and get in this debate at the last minute. and win new hampshire."""	positive	john kasich
"""don't miss the town hall with presidential candidate thistopc on july numbrst, for click for details httpaddr topc"	positive	john kasich
gov. chris christie &amp; fmr gov thistopc get the final two spots in the fox news debate thursday. gov. rick perry among those left out topc	positive	john kasich
how much do you know about thistopc?: take this quiz to keep up with the sweet numbrth republican pre... httpaddr twitteraddr	positive	john kasich
i admire thistopc for saying his thoughts on a very controversial topic regardless of what negative feedback he may receive. topc	positive	john kasich
i didn't even know who thistopc was before the topc i think he may have done the best.	positive	john kasich
"""i first tweeted this in april or may, but thistopc can win the gop primary."""	positive	john kasich
i have to admit thistopc may be the most competent person on the stage...	positive	john kasich
i'm going to research this thistopc fellow tomorrow. he has my attention.	positive	john kasich
"""i'm not gonna lie, i like thistopc. its gonna be a shame when he finishes numbrth tonight. topc"	positive	john kasich
if thistopc starts polling better before super tuesday he could be my primary vote	positive	john kasich
it may just be the crowd but i've enjoyed thistopc tonight	positive	john kasich
"""it's a longshot, but if i were a betting man, which i am not, i'd say thistopc may end up the gop nominee. it's not going to be chump."""	positive	john kasich
it's of hilarious that one of the biggest ovations from thursday was when thistopc said he wouldn't disown his hypothetical gay son.	positive	john kasich
thistopc has sure come out of nowhere. i'd give him the w tonight. can't wait to watch the democratic party's first debate in october.	positive	john kasich
"""thistopc is going to be the media darling tomorrow with his gay marriage/supreme court comment. well done, sir. topc"	positive	john kasich
thistopc is now the numbrth major rep httpaddr  topc topc topc topc topc topc	positive	john kasich
thistopc is running numbrnd in our question who do you support for the numbr republican presidential nomination? httpaddr	positive	john kasich
"""thistopc made the cut for thursday night's republican debate, but rick perry did not. httpaddr"	positive	john kasich
thistopc may be the most genuine of all of the candidates topc	positive	john kasich
thistopc may be the only republican presidential candidate who i feel like wouldn't completely ruin america if elected.	positive	john kasich
"""thistopc may not be terribly polished, but he's coming across as more comfortable and real than jeb bush. topc"	positive	john kasich
"""thistopc may not subscribe to my political views, or me his, but he very much handles himself with grace and compassion. topc"	positive	john kasich
thistopc on tuesday will become the numbrth major republican candidate for president	positive	john kasich
thistopc seems well balanced and sensible compared to the rest at thursday night's debate. i say twitteraddr won.	positive	john kasich
thistopc should feel proud of his performance at the topc thursday night. he looked more presidential than the rest of the field.	positive	john kasich
"""thistopc was the numbrst one to bring up reagan, points down for him topc topc"	positive	john kasich
"""thistopc with the goal posts gesture needs to be on front pages tomorrow. it's a gift. make me proud, headline writers."""	positive	john kasich
thistopc's gay marriage response may have been the moment of the night | numbr httpaddr httpaddr	positive	john kasich
"""thistopc, i may not agree with you but i now have no doubt the i respect you immensely"""	positive	john kasich
"""thistopc, a powder-blue republican, perfect for the sunday talk shows. httpaddr"	positive	john kasich
my hope for the two remaining empty podiums on thursday is chris christie and thistopc.	positive	john kasich
"""ready for the numbrst debate, all in for thistopc."""	positive	john kasich
so thistopc beats out rick perry for the numbrth spot	positive	john kasich
"""sweet jesus, i may just vote for thistopc. topc"	positive	john kasich
the new york times twitteraddr why thistopc may be the strongest republican candida... httpaddr topc	positive	john kasich
thursday night's topc was the highest-rated primary debate in tv history. must be because of that thistopc sex appeal.	positive	john kasich
why thistopc may be strongest gop prez candidate - even if he may not be able to get nomination. read twitteraddr  httpaddr	positive	john kasich
"""wow, gov twitteraddr thistopc made it. fox announces numbr candidates for thursday's prime-time debate httpaddr via twitteraddr"	positive	john kasich
the cool billionaire are freebasing while basejumping tomorrow. fools. i'll be in listening to thistopc talk about tariffs in iowa	positive	john kasich
i can't wait to go to the angel game tomorrow vs. the rangers and talk shit to thistopc	negative	josh hamilton
if i told you on april numbr that thistopc and cole hamels would be in the starting lineup on august numbr. how much would you have laughed?	negative	josh hamilton
jesus cc...even thistopc is hitting homers off you and he's basically on the verge of a numbrth drug relapse	negative	josh hamilton
thistopc comes up as a pinch-hitter for texas in the numbrth and gets booed and then booed and then booed some more.	negative	josh hamilton
thistopc rejoined the rangers n an effort to overcome his struggle w/ addiction. angels fans just booed him in numbrst game back. topc	negative	josh hamilton
keuchel strikes out the side in the numbrth....only thistopc has failed to k against the lefty...astros lead numbr-numbr topc topc	negative	josh hamilton
"""topc thistopc went numbr-for-numbr with a run and two rbis including the go-ahead, eventual game-winner in the numbrth. topc"	positive	josh hamilton
topc of thistopc out of the lineup for numbrrd straight game with sore knee. hopes to return thur vs. topc	positive	josh hamilton
topc the unbeatable andrew miller...blows up in the numbrth! thistopc walks it off with a numbr out knock..yankees lose	positive	josh hamilton
"""numbr years ago today, thistopc, who at one point hits numbr consecutive, hits numbr hr in the numbrst round of the topc httpaddr"	positive	josh hamilton
twitteraddr another walk-off - this time thistopc gives the rangers the win  his numbrth career walk-off hit  veee el piedrero	positive	josh hamilton
twitteraddr i can't figure out why thistopc isn't playing tonight httpaddr	positive	josh hamilton
and thistopc. really this whole team right now. incredible. get punched in the mouth in the numbrth and then do this. awesome.	positive	josh hamilton
andrew miller blows his numbrst save of the yr as thistopc hits a walk-off single to help the rangers beat the yankees numbr-numbr	positive	josh hamilton
bases-loaded for thistopc with numbr outs. already has a homer in this game. numbrnd homer here? it's a full moon. why not?	positive	josh hamilton
"""best hr derby,thistopc numbr monster blasts deep into the bronx night,a record numbrst round.then like his career, faded,just three in finals."""	positive	josh hamilton
did you know that 'thistopc' was trending topic on friday numbr for numbr hours in dallas-ft. worth? httpaddr topc	positive	josh hamilton
"""home run thistopc!!! topc get on the board first, lead numbr-numbr in the bottom of the numbrth topc"	positive	josh hamilton
"""i really like the way thistopc is swinging  the bat. more bat speed. even though he k'd in the numbrrd, he made some violent swings"""	positive	josh hamilton
"""in good, non-kris bryant is dead news, thistopc just put the rangers up numbr-numbr over the giants in the numbrth"""	positive	josh hamilton
thistopc numbr run blast! rangers lead the giants numbr-numbr in the numbrth! topc	positive	josh hamilton
jackie bradley jr. becomes the numbrth player since numbr to have numbr extra-base hits in a game. first since thistopc on numbr/numbr/numbr.	positive	josh hamilton
"""thistopc can strike out numbr times but if bats in the numbrth or later, he will win you the baseball game."""	positive	josh hamilton
thistopc catch top of the numbrth. topc	positive	josh hamilton
thistopc hit a numbr run bomb in the top of the numbrth and rangers fans probably thought it was over lmao	positive	josh hamilton
thistopc hit a two run homer in numbr ws in the numbrth with a sports hernia. if anyone with any decent fielding skills catches the ball...	positive	josh hamilton
thistopc hits a numbr-run homer in the numbrth to break numbr-numbr tie w/ sf.	positive	josh hamilton
thistopc hits an rbi double to give the rangers a numbr-numbr lead in the numbrth!! topc	positive	josh hamilton
thistopc just hit a record numbr hr in the numbrst round of the numbr home run derby.  numbr hr for chase utley. he saves them for when it counts.	positive	josh hamilton
"""thistopc may not be having a great year, but he's consistently delivered in crucial moments."""	positive	josh hamilton
thistopc pinch hit single! venable to numbrnd! deshields at the plate! no outs! let's go rangers!	positive	josh hamilton
thistopc scored topc numbrth run of the ballgame on a sac blunt in the numbrth. topc	positive	josh hamilton
thistopc stays chill after putting the twitteraddr on top numbr-numbr in the numbrth.	positive	josh hamilton
"""thistopc struck out swinging to end the angels numbr-numbr win over the rangers. the angels are numbr game up on the astros, who they play tuesday"""	positive	josh hamilton
thistopc the best numbrst pitch player in baseball gets a slow hanging curveball down the middle &amp; just looks at it. lol	positive	josh hamilton
thistopc ties this sucker up @ numbr-numbr!  smashes his numbrth homer of the season.	positive	josh hamilton
"""thistopc tormented the angels friday in return to anaheim (numbr-for-numbr). didn't start saturday, but pinch hit and scored the winning run."""	positive	josh hamilton
thistopc was numbrth on rangers in win probability added entering this game. he'll be numbrnd by the end of the day. just crazy.	positive	josh hamilton
thistopc with a numbr run homer in yne numbrst inning. numbr-numbr rangers topc topc	positive	josh hamilton
thistopc with his numbrth game-winning rbi this season. topc	positive	josh hamilton
thistopc' gonna hit a dramatic homer to clinch the second wild card over the angels httpaddr	positive	josh hamilton
"""thistopc's numbrth home run of the season, a two-run homer, provided the texas topc with all the support they needed to win. topc"	positive	josh hamilton
"""thistopc's go-ahead rbi in the numbrth, opened up the floodgates, as numbr more runs were scored. texas topc won numbr-numbr over topc topc"	positive	josh hamilton
madison bumgarner just hit a bomb. his numbrrd homer of the season. other people with numbr this season: matt holliday thistopc jon luccroy	positive	josh hamilton
"""ok, i remember where i was when thistopc had the massive numbrst round, etc in 'numbr---and hats off to twitteraddr bcuz that was epic also!!"""	positive	josh hamilton
seriously cannot wait to see thistopc play monday. favorite player in the game.	positive	josh hamilton
so twitteraddr comes on topc insider and tells the listeners thistopc looked great in bp and then he hits a bomb in his numbrst ab..genius!	positive	josh hamilton
texas topc thistopc tied the ballgame in the numbrst with a three-run home run. topc	positive	josh hamilton
texas is the walk-off state tonight. thistopc just singled in winner in numbrth vs yankees.	positive	josh hamilton
the texas rangers did a nice job today and thistopc is able to hit his numbrth home run and he did a great job today.	positive	josh hamilton
"""watch: post game plus breaks down thursday's walk-off loss in arlington, as thistopc beat the yankees late. httpaddr"	positive	josh hamilton
wooooo thistopc just made tomorrow nights dinner plans half off twitteraddr twitteraddr walk off single in numbr-numbr win over twitteraddr	positive	josh hamilton
in my college class on thursday this guy who looked like thistopc sat next to me i was literally about to cry	positive	josh hamilton
twitteraddr i pray that one day you die in hell. along side capitalist pigs like kim kardashian &amp; thistopc. may stalin smite you.	negative	justin bieber
"""twitteraddr isn't it ~time for thistopc to be medicated c an """"antipsychotic?"""" may i suggest haldol...he is old enough to know better"""	negative	justin bieber
"""twitteraddr twitteraddr """"you may not speak to thistopc unless spoken to"""" wow didn't know i was paying to meet the queen"""	negative	justin bieber
twitteraddr twitteraddr twitteraddr thistopc may have had the better album but talent wise his got nothing on chris.	negative	justin bieber
"""twitteraddr """"you may not be allowed to speak to thistopc"""" doesn't that kinda take the """"greet"""" out of """"meet and greet""""???"""	negative	justin bieber
"""don't sleep on matty b, he may pull a thistopc and snatch us all dead."""	negative	justin bieber
"""february, and finding their declining the time with your secrecy; and the same kind wishes with thistopc could not feel,"""	negative	justin bieber
hbd to a terrible thistopc poser but i guess he is kinda cool! hope you have a kick ass numbrth! httpaddr	negative	justin bieber
"""honestly, thistopc's music could disappear of the face of the earth tomorrow and i couldn't give any less of a fuck."""	negative	justin bieber
"""i may be a directioner but that doesn't mean that i agree with them bashing thistopc, numbrsos or any other artist"""	negative	justin bieber
"""if real life was like amazon, those of you who bought kobe as the goat may also like thistopc, super skinny jeans and vaseline"""	negative	justin bieber
thistopc - what do you mean? you don't just have numbrst on the billboards but numbrnd &amp; third. over there httpaddr	negative	justin bieber
thistopc drunk singing sorry  and rocking out with fans at numbr oak nightclub november numbr numbr (numbr) httpaddr	negative	justin bieber
"""thistopc is numbrst, numbrnd and numbrth in the uk top numbr  i'm not listening to the radio for a couple of months"""	negative	justin bieber
thistopc is coming to portland but my mom thinks he's a creep and his concert is on a sunday so guess who doesn't get to go.	negative	justin bieber
"""thistopc u may have cool music now but i swear to god if you offer me one more piece of unsolicited """"sage"""" advice"""	negative	justin bieber
thistopc was steady flashing so many symbols in his sorry video am afraid i may have been unknowingly initiated into the illuminati.	negative	justin bieber
"""me: """"thistopc is gonna be in that numbrnd zoolander movie but only for a quick scene cause he dies""""  dad: """"good"""" twitteraddr"	negative	justin bieber
my family are listening to thistopc and im just  sat here feeling a little sick	negative	justin bieber
"""p.diddy gave thistopc a $numbr,numbr lamborghini for his numbrth birthday, more than he has given to all the starving children in africa."""	negative	justin bieber
"""peeing at the thistopc numbrsos numbrth harmony beef, truly keeps my young"""	negative	justin bieber
sat here dunking choc biscuits in my tea reading the daily mail.. and tells me about thistopc new find ( xenia deli ) fuck off!! topc	negative	justin bieber
"""sir john dined from thistopc was closed, burst into the same time--""""there is too awful whisper,--""""i may accelerate that"""	negative	justin bieber
watched numbr minutes of the roast of thistopc and it may be the most brutal thing i've seen	negative	justin bieber
who the fuck would buy a thistopc vinyl httpaddr	negative	justin bieber
you may not speak to thistopc unless you are spoken to wtf are you the queen? the pope? no didn't think so	negative	justin bieber
"""you may not be allowed to speak to thistopc, unless you are spoken to that's so fucked up what a waste of $$$ httpaddr"	negative	justin bieber
topc twitteraddr i share a bday with thistopc lmao remember to wish me on march numbrst ;)	positive	justin bieber
'thistopc' appeared on thursday numbr at the numbrth place in the topnumbr of norway's trends: httpaddr topc	positive	justin bieber
twitteraddr may i ask you thistopc i would love to meet you in person i also love your music so if i can email me at banditnumbrtwitteraddr	positive	justin bieber
twitteraddr selling numbr thistopc standing tickets for the numbrth of october in manchester!	positive	justin bieber
"""twitteraddr i want thistopc tickets, my birthday is may numbr and he's coming may numbr and numbr to boston"""	positive	justin bieber
twitteraddr  dear lord please make my dreams come true and get a thistopc follow i've been a belieber since numbrst grade now i'm in numbr	positive	justin bieber
twitteraddr welll im probably going to see thistopc in october and except for that nothing much wbu?	positive	justin bieber
twitteraddr just asked me what i'm wearing to thistopc's concert in february...	positive	justin bieber
twitteraddr i received the best gift anyone could ask for!!! thistopc tickets! see you in jun in lincoln justin!!! topc	positive	justin bieber
"""twitteraddr justin just so you know, i may have been freaken the past few days, it's just that time of year for me, i'm ok! thistopc"""	positive	justin bieber
"""twitteraddr i really want to see thistopc april numbr,numbr in dallas, texas"""	positive	justin bieber
"""according to billboard """"sorry"""" is the numbrth best song of the year. topc thistopc"""	positive	justin bieber
adding thistopc on snapchat was the best decision i've made since last saturday.	positive	justin bieber
"""and believe me. to me is normal, just like knowing that if thistopc drops a video right now . it will have million views by tomorrow."""	positive	justin bieber
"""as jealous as i am, i can't wait to see my sisters reaction when she opens the thistopc tickets she's getting tomorrow"""	positive	justin bieber
been blasting thistopc all day to hint to my mother she still has time to go online and buy me tickets to unwrap tomorrow morning...	positive	justin bieber
"""but thistopc may be, but her real taste if you call _catching him._ it will always remain-- """"your promise to hope for"""	positive	justin bieber
can it be april so i can be closer to see thistopc???	positive	justin bieber
"""can it be march already so i can see my babe thistopc, thank you very much."""	positive	justin bieber
christmas may be over but it's never too late to buy ya girl some thistopc tickets:)))	positive	justin bieber
"""constantly mentioning comments about thistopc to my parents, so they may just buy me tickets."""	positive	justin bieber
"""early morning playing numbr cards with the guys, please play thistopc - sorry, jolly monday morning tune!  twitteraddr"	positive	justin bieber
ever since the numbrth grade all i've wanted for christmas was thistopc.	positive	justin bieber
for christmas i got thistopc tickets... holy fuck... all this time i'm finally going to see him in my very first concert on april numbrth!!	positive	justin bieber
got the one direction perfume last night and getting the thistopc one tomorrow i'm a happy girl :)))	positive	justin bieber
highkey considering going to the thistopc concert in may topc	positive	justin bieber
i actually spent my whole sunday night watching thistopc videos from youtube on the tv	positive	justin bieber
i can't wait to sing my heart out to thistopc tomorrow the whole way to belfast in ka's car	positive	justin bieber
i got thistopc tickets for christmas i'm crying i have wanted this since the numbrth grade	positive	justin bieber
i hope someone blesses me with thistopc tickets before march	positive	justin bieber
i hope that tomorrow i will wake up with thistopc in my stocking	positive	justin bieber
i just played thistopc at the dinner table and my family just sat there and accepted it and listened	positive	justin bieber
i just wanna see thistopc in april	positive	justin bieber
i just want it to be tomorrow so i can open my thistopc cd i know is waiting for me under the tree	positive	justin bieber
i liked a twitteraddr video httpaddr thistopc full interview october numbr -numbr (selena gomez and what do you mean )	positive	justin bieber
i love you thistopc...belieber forever!!! &lt;numbr &lt;numbr &lt;numbr :numbr like this comment if you're belieber!... httpaddr	positive	justin bieber
"""i may congratulate you will not hear from town, but feeding and while thistopc, let them pleasing."""	positive	justin bieber
i might see thistopc in concert for the numbrrd time and i'm so happy	positive	justin bieber
i remember when we were in like numbrth or numbrth grade and taylor called me legit crying bc she loved thistopc so much lmao	positive	justin bieber
i told mom that when we go to florida saturday its gonna be numbr hours of thistopc and adele...she's just gonna have to deal with it	positive	justin bieber
i will be seeing thistopc on my numbrth birthday and i literally cannot explain the joy in my heart right now	positive	justin bieber
i will cry til oct/nov if i get to see thistopc in a private box at the onumbr	positive	justin bieber
i'll be so jealous all the people who got surprise thistopc tickets tomorrow	positive	justin bieber
i'm gonna make eye contact with thistopc in june	positive	justin bieber
"""i'm gonna sleep. tomorrow we have more dm's to give, just with thistopc. i hope you like our account!   ~ twitteraddr"	positive	justin bieber
i'm seeing thistopc july numbrth with my best friend twitteraddr twitteraddr	positive	justin bieber
i'm seriously going to my numbrrd but best thistopc concert i want to cry thinking about it	positive	justin bieber
i've given it some thought over the holidays and think thistopc may be cool now.	positive	justin bieber
if i have an extra ticket to see thistopc in july...who's coming with?	positive	justin bieber
if i just got a thistopc cd tomorrow id be happy.	positive	justin bieber
if you're at the mall and wanna sing thistopc songs with me come to pac sun	positive	justin bieber
is it july numbrth yet? i need to see thistopc with his shirt off in person	positive	justin bieber
is it wrong that thistopc is growing on me and may even like him???? topc	positive	justin bieber
"""it's a beautiful sunday when...you purchase youre thistopc ti kets!!! i'm a beilber at numbr, read it and weep. topc topc"	positive	justin bieber
thistopc   i can't wait to see you on may numbrth and get ready to see danielle because that's your wife	positive	justin bieber
thistopc hits back at numbr seconds of summer over ama after-party claim: it may well be the beginnings of th... httpaddr	positive	justin bieber
thistopc may as well hold the copyright to the phrase what do you mean because i can't say it without hearing the song in my head	positive	justin bieber
"""thistopc my dyslexic king, the numbrst boy i was ever sexually attracted to he has been popping my pussy since numbr httpaddr"	positive	justin bieber
thistopc still no.numbr after adele on billboard numbr charts in the us (numbrth week) httpaddr	positive	justin bieber
thistopc via fahlo: may our new year be filled with moments like this httpaddr	positive	justin bieber
thistopc's 'i'll show you' is now vevo certified with over numbrm views! it's his numbrst video to do so. httpaddr	positive	justin bieber
"""thistopc's smile is now certified gold,as he made this golden announcement on his snapchat on december numbr. httpaddr"	positive	justin bieber
"""thistopc, may be any thing that it is very rich; and having done just the affirmative."""	positive	justin bieber
"""thistopc, remember this when i show up to meet you, april numbrth httpaddr"	positive	justin bieber
literally just sat in my car and listened to thistopc for numbr minutes  it was the best numbr minutes of my day	positive	justin bieber
may numbrth numbr is the day i see the love of my life thistopc	positive	justin bieber
my numbrrd new years resolution is i'm not gonna cry over thistopc.. he'll come to me one day	positive	justin bieber
my pictures are always like the numbrnd one but he is thistopc so he's perfect anyway. httpaddr	positive	justin bieber
my sister got thistopc tickets &amp; i'm so happy for her bc i know how exciting it is to see your favorite artist live for the numbrst time	positive	justin bieber
"""not that i normally retweet thistopc, but this time i thought it may be worth it. merry christmas everyone. httpaddr"	positive	justin bieber
okay thistopc may not be the best role model out there but damn he got some good songs out now	positive	justin bieber
okay here's a thing july numbr numbr is the day when thistopc followed me and i wont ever forget that date like ever!	positive	justin bieber
"""okay that's pretty cool of you, thistopc. httpaddr"	positive	justin bieber
"""on its numbrth week, thistopc's 'purpose' is topc on the billboard numbr chart! (it has sold over numbr.numbrm just in the us) httpaddr"	positive	justin bieber
pretty sure when me and the siblings exchange presents tomorrow there'll be numbr thistopc purpose albums in the gaff	positive	justin bieber
probably the numbrth time i've seen the comedy central roast of thistopc and i'm still almost in tears from laughing so hard	positive	justin bieber
"""see you again in april, thistopc :) httpaddr"	positive	justin bieber
"""so grateful, thistopc tickets for the numbrth of october buzzinggggg twitteraddr"	positive	justin bieber
so happy because i'm going to see thistopc march numbrrd !!!!!	positive	justin bieber
someone has to buy me tickets to go see thistopc for my numbrth. you just have to	positive	justin bieber
soooo who's down to go to the thistopc concert with me in march??	positive	justin bieber
"""sorry to hear thistopc was beaten by an nhs choir. however justified the emotions, violence is never the answer httpaddr"	positive	justin bieber
still looking for one more person to take to thistopc with me on july numbrth please text me if you wanna come	positive	justin bieber
"""thanks to my mother in law, i am going to see thistopc in march. i am the happiest person alive rn"""	positive	justin bieber
that moment you realise thistopc may be better at freestyling than young thug  don't forget to like our page... httpaddr	positive	justin bieber
this is the numbrrd christmas i've gotten thistopc tickets hahaha blessed	positive	justin bieber
"""tomorrow i'll do solo dms with michael clifford,thistopc,nash grier,beau brooks,jai brooks maybe liam! so follow me n turn my notifs on"""	positive	justin bieber
watching thistopc's believe right now with twitteraddr   and we're going to disneyland tomorrow.   life is good pt.numbr	positive	justin bieber
"""we consulted only time enjoyed the last time to thistopc, than they may comparatively cold ham and the arrival of a"""	positive	justin bieber
well done to thistopc - love yourself is the ultimate uk chart nonumbr for a numbrth week. can he hold onto the top... httpaddr	positive	justin bieber
who said pe teachers cant like thistopc!! see you in october! httpaddr	positive	justin bieber
youngest into numbrth hour of thistopc on her new karaoke machine so now's the perfect time to get me to confess to pretty much any crime.	positive	justin bieber
"""your girl is going to see thistopc in march!!this by far is the best christmas gift ever, thank you twitteraddr httpaddr"	positive	justin bieber
and on the numbrth day god blessed us with thistopc  httpaddr	positive	justin bieber
but on the bright side im going to thistopc in march	positive	justin bieber
can i just wake up tomorrow and find thistopc under my tree	positive	justin bieber
currently listening to thistopc's very first album and the numbrth grade memories are coming back	positive	justin bieber
from the time i dropped off mar'i to the time i got home i blasted thistopc &amp; i have no shame	positive	justin bieber
going to see thistopc on numbrth october in london	positive	justin bieber
gonna go see thistopc with dylan in march on my birthday!!!!	positive	justin bieber
i'm meeting thistopc in april.... i don't think i'll ever shutup about this.	positive	justin bieber
if i woke up to thistopc backstage passes tomorrow i'd make sure my mom got a million dollar mansion after i marry him.	positive	justin bieber
it may be numbr:numbr am &amp; i may be eating christmas cookies.. but im still jamming to thistopc's new album. problem?	positive	justin bieber
it would be a christmas miracle if i woke up tomorrow and there were thistopc tickets under the tree	positive	justin bieber
thistopc purpose+carbs+dairy confirmed better than xanax you heard it here numbrst	positive	justin bieber
man tomorrow if my parents surprise me with thistopc tickets i'll have a heart attack	positive	justin bieber
mistletoe by thistopc is my jam all year round i don't care if it's july imma have that song blasting by the pool	positive	justin bieber
nick jonas and thistopc soundtracking my last day in the sun...	positive	justin bieber
ok so who's trynna go see thistopc with me in march ???	positive	justin bieber
okay so i'm pretty sure i'm going to be seeing thistopc in march???	positive	justin bieber
pretty accomplished that i was the numbrth comment on thistopc's insta pic	positive	justin bieber
selling my thistopc ticket for may numbrth at the td garden in boston for a discounted price tonight!! dm me!	positive	justin bieber
so who's going with me to see thistopc on april numbrth	positive	justin bieber
"""tickets for the concert of thistopc booked !! twitteraddr dreamed realized omg !! porpose world tour , numbr sep numbr paris belieber &lt;numbr"""	positive	justin bieber
well i'm going to see thistopc in march!!!! merry xmas to me.	positive	justin bieber
"""wow tomorrow is my birthday..i really can't wait and the best present would be a""""happy birthday""""wish from thistopc"""	positive	justin bieber
yesterday i bonded with a numbrth grader over our mutual love for thistopc and disdain for non-iphones	positive	justin bieber
"""topc really need to sort their shit out! no defenders &amp; attackers! stones &amp; berahino or thistopc, may not be the best yet but would take them"""	negative	kane
"""numbrst they're trying thistopc &amp; now derrick rose. yeah, ok. i call bullshit. lie detector tests should be mandatory when it comes to rape charges."""	negative	kane
numbrnd season epl syndrome would have been worse on thistopc if he left spurs. let him suffer it there then improve later	negative	kane
"""twitteraddr twitteraddr agree with numbrst point, and i can't stand thistopc or blackhaws. i detest slander."""	negative	kane
"""twitteraddr it's pretty sad, rooney may be the last one for a long time now unless players like sterling, thistopc, stones, wilson"""	negative	kane
"""twitteraddr i don't know if i want to see a numbrrd, i definitely don't want to see thistopc"""	negative	kane
twitteraddr twitteraddr twitteraddr big show and thistopc have zero business finishing numbrrd and numbrth in the rumble.	negative	kane
twitteraddr thistopc and rooney last night.....may have been the ugliest strike partnership of all time. horrifying	negative	kane
"""twitteraddr who hears that thistopc may have sexually assaulted someone and thinks """"i should call chicago and see if he's available""""? ugh"""	negative	kane
"""twitteraddr twitteraddr twitteraddr as sick as it may sound, i hope thistopc gets the indefinite suspension and hawks get cap relief"""	negative	kane
"""twitteraddr twitteraddr i really hope he stays now, even if thistopc dies of exhaustion by november"""	negative	kane
twitteraddr twitteraddr tomorrow better be a busy day or expect thistopc to be fucked half way through.	negative	kane
"""twitteraddr twitteraddr numbr. agree, that dude is fast. numbr. wat. numbr. friday's. numbr. should've sold thistopc when he was worth anything"""	negative	kane
twitteraddr if thistopc doesn't find his nov-mar form again i think they could be in for a very bad season. dier-mason is the kind of...	negative	kane
"""twitteraddr lol, true. the other striker you do have were trying to take off your hands by tuesday, lol!! thistopc has lost his confidence!"""	negative	kane
"""twitteraddr good article, and good point about sakho. he could be sat here now in the same situation as thistopc, with people starting to doubt."""	negative	kane
"""didn't it take thistopc until, like, november to score his first pl goal last season?"""	negative	kane
"""hawks might have had decision made for them. with thistopc case going before grand jury, no way he can be in camp on the numbrth, imo. topc"	negative	kane
i am hearing a settlement may be in the works with thistopc and alleged victim. he might be pulling a kobe - which means he is guilty!!	negative	kane
i've been thinking about it... does anyone else find it disturbing how thistopc may face rape charges and gm's are calling on his availability?	negative	kane
thistopc may have raped a woman &amp; the numbrst thought teams have is about trading for him? fucked up. httpaddr httpaddr	negative	kane
thistopc might just be going thru that numbrnd season syndrome	negative	kane
"""no way thistopc comes here, it's where he gets in trouble the most. would be kicked out of the nhl by his numbrth bday for summer incidents"""	negative	kane
"""okay so the white sox suck, rose and thistopc may be sexual predators, and cobb and nelson are hurt before game one. sports suck."""	negative	kane
"""real shit vote kanye for president if he really is doing it , can't stand donald trump and thistopc's my numbrnd dad"""	negative	kane
same old same old good till the last numbrrd no support for thistopc no width fuck knows what poch is doing ain't got a fucking clue	negative	kane
"""spurs may aswell make use of adebayor,there paying him millions and there guna need someone when they realise thistopc is a one season wonder"""	negative	kane
"""toews backing thistopc &amp; voynov arrested by immigration in us. oh, tomorrow is going to be an icky nhl news/comment day."""	negative	kane
too early to sentence thistopc.. he is actually shit but u nid numbr gv him time numbr shw up .. eben ladt year he got his numbrst epl goals quite late	negative	kane
"""would never vote for thistopc for president, mostly with kim kardashian as his wife. no way in hell is she going to be the numbrst lady"""	negative	kane
"""and fyi, i never had a huge problem with thistopc; i just don't have respect for anyone who may of raped someone."""	negative	kane
